voter_id,rank_1,rank_2,rank_3,rank_4,rank_5
1,A,C,D,B,E
2,A,C,D,B,E
3,A,C,D,B,E
4,A,C,D,B,E
5,A,C,D,B,E
6,A,D,B,C,E
7,A,D,B,C,E
8,A,D,B,C,E
9,A,D,B,C,E
10,A,D,B,C,E
11,A,D,B,C,E
12,A,D,B,C,E
13,A,D,B,C,E
14,A,D,B,C,E
15,B,A,C,D,E
16,B,A,C,D,E
17,B,A,C,D,E
18,B,A,C,D,E
19,B,A,C,D,E
20,B,A,C,D,E
21,B,A,C,D,E
22,B,C,D,A,E
23,B,C,D,A,E
24,B,C,D,A,E
25,B,C,D,A,E
26,B,C,D,A,E
27,B,C,D,A,E
28,B,C,D,A,E
29,B,C,D,A,E
30,C,A,D,B,E
31,C,A,D,B,E
32,C,A,D,B,E
33,C,D,A,B,E
34,C,D,A,B,E
35,C,D,A,B,E
36,C,D,A,B,E
37,C,D,A,B,E
38,C,D,A,B,E
39,C,D,A,B,E
40,C,D,A,B,E
41,C,D,A,B,E
42,D,A,B,C,E
43,D,A,B,C,E
44,D,A,B,C,E
45,D,B,A,C,E
46,D,B,A,C,E
47,D,B,A,C,E
48,D,B,A,C,E
49,D,B,A,C,E
50,D,B,A,C,E
51,D,B,A,C,E
